TYPEHUQ,HDD30YR,CDD30YR,BEDROOMS,NCOMBATH,TOTROOMS,CELLAR,GARGHEAT,HEATROOM,ACROOMS,USECENAC,TEMPNITEAC,TOTSQFT,TOTHSQFT,TOTCSQFT,KWH,KWHCOL,KWHRFG,KWHOTH,DOLELCOL,DOLELWTH,DOLELRFG,DOLELOTH,DOLLAREL
2,5922,829,3,2,6,1,1,6,6,3,75,2626,2301,1576,6842,693.42,678.94,5469.64,47.84,0.00,46.84,377.33,472
5,6078,818,1,1,3,-2,-2,1,-2,-2,-2,375,125,375,2729,362.95,1034.45,1331.60,62.24,0.00,177.40,228.36,468
5,134,4341,1,1,3,-2,-2,3,3,1,-2,680,680,680,3303,1000.99,677.13,1270.82,138.80,0.00,93.89,176.22,458
4,5646,756,3,1,6,0,-2,5,-2,-2,-2,1125,938,0,7376,0.00,1355.73,2590.68,0.00,623.99,246.66,471.35,1342
5,5794,1023,-2,0,1,-2,-2,1,-2,-2,-2,100,100,0,1525,0.00,465.98,1059.02,0.00,0.00,52.56,119.44,172
4,4892,1364,2,2,3,0,-2,2,2,3,69,1271,847,847,20840,1819.36,1539.05,6972.66,149.02,271.45,126.06,571.13,1707
4,3900,1548,2,1,4,0,-2,4,4,2,70,800,800,800,7508,616.16,845.04,2448.55,61.96,157.93,84.98,246.23,755
2,0,4514,2,1,4,0,-2,-2,-2,-2,-2,1546,0,773,4118,1304.33,308.99,2504.69,302.17,0.00,71.58,580.25,954
2,7296,143,3,2,7,1,0,5,-2,-2,-2,3032,2111,0,15542,0.00,954.01,10890.02,0.00,300.04,96.49,1101.47,1572
2,2561,1426,4,3,9,0,0,9,9,3,78,4992,4592,4592,26876,8169.27,3205.02,15501.71,1973.62,0.00,774.30,3745.07,6493
2,2386,2507,4,2,8,0,0,6,6,3,74,3483,2312,2312,18628,5744.83,1578.13,8417.95,711.47,357.55,195.45,1042.53,2307
2,6061,746,3,2,7,1,-2,7,7,1,-2,3074,2174,2174,7954,494.65,1249.08,6210.27,45.58,0.00,115.11,572.31,733
5,2275,2539,2,1,4,-2,-2,4,4,3,75,999,999,999,6727,2668.13,1019.68,3039.19,318.49,0.00,121.72,362.79,803
1,3704,879,2,1,4,-2,-2,3,3,3,70,784,588,588,2624,292.27,460.35,1330.47,33.75,0.00,53.16,153.63,303
3,4209,1523,4,1,7,1,0,7,7,3,70,1864,1614,1614,7383,1327.47,987.05,4754.94,218.04,0.00,162.13,781.02,1213
5,5281,850,1,1,3,-2,-2,3,-2,-2,-2,596,596,398,1815,94.97,258.88,563.47,13.65,0.00,37.21,80.98,261
2,3331,1423,3,2,7,0,0,7,7,3,73,1972,1572,1572,13292,1675.10,1835.98,4957.07,130.31,172.40,142.82,385.62,1034
2,4483,1673,3,1,6,1,0,6,6,3,70,2880,2480,1328,5453,1271.55,600.39,3581.06,117.06,0.00,55.27,329.68,502
2,7789,261,4,2,10,0,1,10,6,2,65,4430,4430,2418,16240,599.59,2645.93,12994.47,56.30,0.00,248.46,1220.23,1525
4,4572,1192,4,2,7,1,-2,7,-2,-2,-2,1952,1474,1263,6729,1124.84,876.06,4728.11,193.07,0.00,150.37,811.56,1155
1,3772,1668,2,1,3,-2,-2,3,-2,-2,-2,540,540,180,10354,2495.12,2599.48,5259.41,311.35,0.00,324.37,656.28,1292
3,1595,787,3,2,7,0,0,7,7,1,-2,1692,1292,1292,4847,463.56,1110.06,3273.38,80.05,0.00,191.69,565.26,837
2,2268,2776,3,2,6,0,0,6,6,2,72,2262,1862,1862,18563,4421.22,1234.96,7933.12,547.32,287.40,152.88,982.08,2298
2,5540,1164,3,2,6,1,0,5,5,2,75,2324,1304,1563,22836,1707.55,1225.69,10918.33,165.10,350.07,118.51,1055.69,2208
2,4859,1363,4,2,8,1,0,8,8,3,74,4051,1590,1590,9660,1320.51,1945.88,4572.36,110.32,152.15,162.56,381.98,807
2,5332,837,3,2,9,0,-2,9,9,1,-2,2023,2023,2023,4148,419.81,602.51,3125.68,73.28,0.00,105.16,545.56,724
1,4155,1294,3,2,5,-2,-2,5,5,3,77,1431,1431,1431,12458,1259.15,578.73,6547.80,136.65,187.76,62.81,710.60,1352
2,1242,1101,2,1,4,0,-2,1,-2,-2,-2,800,200,0,2771,0.00,736.46,1692.69,0.00,0.00,104.30,239.73,392
2,6481,576,3,1,6,1,0,6,5,2,75,2646,2005,1070,6719,208.97,923.65,5586.38,26.81,0.00,118.50,716.69,862
2,3445,1748,4,2,7,0,-2,2,-2,-2,-2,2520,720,0,8052,0.00,910.32,5460.95,0.00,180.73,97.89,587.21,866
5,3946,1343,3,1,5,-2,-2,4,-2,-2,-2,960,768,192,8240,521.71,586.48,2397.53,47.55,199.25,53.45,218.51,751
5,8403,442,2,1,4,-2,-2,3,-2,-2,-2,727,545,182,4069,188.91,1420.15,2459.93,23.77,0.00,178.70,309.53,512
5,2904,115,-2,1,1,-2,-2,1,-2,-2,-2,330,330,0,3164,0.00,453.24,1109.18,0.00,0.00,59.30,145.13,414
5,4906,1056,-2,1,1,-2,-2,1,-2,-2,-2,313,313,313,1243,89.08,208.14,945.78,32.68,0.00,76.36,346.96,456
2,6881,530,3,1,7,1,-2,5,-2,-2,-2,3438,2947,246,22494,225.77,3415.08,18853.15,27.90,0.00,422.06,2330.03,2780
2,4723,266,4,2,7,0,0,5,-2,-2,-2,2892,1780,356,6851,45.69,1194.38,5610.92,3.12,0.00,81.59,383.29,468
2,3052,1615,3,3,7,1,0,7,-2,-2,-2,6360,2992,0,15929,0.00,2922.66,13006.34,0.00,0.00,311.37,1385.63,1697
2,5641,796,4,2,8,1,0,8,-2,-2,-2,5378,3218,1207,10453,720.54,1384.74,8347.72,132.00,0.00,253.69,1529.31,1915
3,4556,1197,3,1,5,1,0,5,-2,-2,-2,1581,1088,435,5402,235.12,616.25,2744.42,60.63,465.76,158.91,707.70,1393
2,7051,794,5,2,9,0,-2,9,8,1,-2,2190,2190,1947,12410,389.25,1225.99,6133.20,30.86,239.95,97.21,486.31,984
4,2226,2827,1,1,3,0,-2,3,3,3,76,967,967,967,5852,1540.39,550.68,1248.45,242.43,185.37,86.67,196.48,921
4,5501,743,2,1,5,0,-2,5,-2,-2,-2,1701,1701,340,5785,119.98,540.91,2728.48,29.02,579.34,130.81,659.83,1399
2,3289,1832,3,1,5,0,-2,5,5,1,-2,1232,1232,1232,17144,1099.51,2313.78,6009.69,104.54,242.36,219.99,571.38,1630
4,6534,640,3,1,6,1,-2,4,-2,-2,-2,1186,791,0,6548,0.00,1272.79,5275.21,0.00,0.00,228.59,947.41,1176
5,5758,727,4,1,6,-2,-2,6,-2,-2,-2,1286,1286,0,5983,0.00,715.50,2480.81,0.00,493.25,126.65,439.11,1059
4,3062,1047,2,1,4,0,-2,2,-2,-2,-2,815,408,204,7767,186.73,602.20,4521.44,27.53,0.00,88.78,666.55,1145
4,2401,2092,2,2,3,0,-2,3,3,2,74,940,940,940,13644,1970.30,726.28,5817.23,258.49,438.36,95.28,763.18,1790
5,6613,929,2,1,4,-2,-2,4,-2,-2,-2,804,804,201,4693,50.03,458.78,1126.92,5.39,113.84,49.47,121.50,506
5,6070,707,1,1,3,-2,-2,3,-2,-2,-2,619,619,0,4010,0.00,865.63,3144.37,0.00,0.00,141.18,512.82,654
5,5453,863,1,1,3,-2,-2,3,3,1,-2,729,729,729,1781,80.38,366.34,1334.27,12.22,0.00,55.68,202.78,271
2,5427,785,4,2,7,0,-2,7,-2,-2,-2,2016,2016,0,35091,0.00,2997.76,17452.73,0.00,588.53,225.10,1310.53,2635
2,3047,553,3,2,6,0,0,2,-2,-2,-2,1710,437,0,3149,0.00,399.55,1583.94,0.00,0.00,40.10,158.95,316
2,3821,1314,5,3,9,0,0,9,9,3,70,3667,3417,3417,18212,3888.20,2428.87,8162.45,362.52,253.68,226.46,761.03,1698
5,6260,606,1,1,3,-2,-2,3,3,3,70,1009,1009,1009,4501,611.81,652.27,3236.92,101.95,0.00,108.69,539.37,750
